[0506/183826.229:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0506/193626.884:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193631.905:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193636.911:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193641.917:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193646.922:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193651.932:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193656.937:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193701.947:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193706.957:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193711.972:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193716.989:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193722.004:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193727.008:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193732.013:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193737.029:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193742.049:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193747.064:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193752.074:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193757.089:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193802.101:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193807.117:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193812.129:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193817.144:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193822.156:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193827.170:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193832.185:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193837.200:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193842.211:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193847.220:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0506/193852.225:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
